epoch,train_loss,val_loss,train_shape_acc,val_shape_acc,train_color_acc,val_color_acc,train_shape_f1,val_shape_f1,train_color_f1,val_color_f1,lr
1,0.8224505081058742,0.20399917611703397,0.8868088467614534,0.9902120717781403,0.9034579603299983,0.9609842305600872,0.425340189702693,0.8124451752819455,0.4820228050273119,0.630565453269642,0.0001
2,0.523721117547087,0.1873722355357002,0.9414428646656136,0.9918433931484503,0.9223516763208707,0.9647226753670474,0.5869290685566169,0.8549802216243574,0.5575330130281925,0.6430828751704507,0.0001
3,0.43611543579061385,0.1747148921029554,0.9541337546076883,0.9918433931484503,0.9313959101281375,0.9680532898314301,0.6681536811849387,0.8549802216243574,0.589222744930099,0.665479306395402,0.0001
4,0.38107585767465496,0.16974254331109379,0.9629541864139021,0.9942903752039152,0.9377545199227665,0.9690048939641108,0.722891339067589,0.7765148339798353,0.6148086646817253,0.6711050919563671,0.0001
5,0.34872630673876054,0.17146738964401878,0.9677198525539759,0.9951060358890702,0.9421559592768123,0.9689369222403479,0.7368507810581518,0.8737240237497146,0.6357487918859525,0.6713825819554206,0.0001
6,0.3219311722144759,0.17005726948933492,0.9709320695102686,0.9942903752039152,0.9454296120765314,0.9702963567156062,0.7705861896589719,0.7765148339798353,0.6506816139264825,0.6788108444543575,0.0001
7,0.3009051336143254,0.16995145740112075,0.9736176935229068,0.9942903752039152,0.9478124451465684,0.9699564980967917,0.7776641869644888,0.8347158921808934,0.663985249690596,0.6722498696035154,0.0001
8,0.27532987968114375,0.16955098269817223,0.9776197998946815,0.9951060358890702,0.9509281200631913,0.9724034801522566,0.8113195566405466,0.939200214225905,0.6772563989196638,0.6821302674631738,5e-05
9,0.26289708126275524,0.16986295676199176,0.9790416008425488,0.9942903752039152,0.9530805687203792,0.9721315932572052,0.8236620326874409,0.8557243574355861,0.6872235471433181,0.6711411468379608,5e-05
10,0.25842418103170367,0.16802565703627337,0.9787783043707214,0.9951060358890702,0.954122783921362,0.9725394235997825,0.8345338068441434,0.939200214225905,0.6945960954756946,0.6793129286201623,5e-05
11,0.24711676248755815,0.17168358273555026,0.9806477093206951,0.9942903752039152,0.9551693873968755,0.9733550842849376,0.8327542323047259,0.9182220453701717,0.6994406204563309,0.6808946649432818,5e-05
12,0.24268813620999716,0.17469073040562805,0.9806213796735124,0.9951060358890702,0.9562159908723892,0.9722675367047309,0.8506784118163725,0.939200214225905,0.7049442627691617,0.6768588452107132,5e-05
13,0.23671614771425378,0.18287580371355763,0.9803844128488679,0.9951060358890702,0.957857205546779,0.9732191408374117,0.8387289539508995,0.939200214225905,0.7168102102853086,0.6846090252748066,5e-05
14,0.22633533882052725,0.17879873999055676,0.9828593996840442,0.9942903752039152,0.9580766192733017,0.9738988580750408,0.8516366174337676,0.9182220453701717,0.7156264340184141,0.6862350943707659,2.5e-05
15,0.2222010606963613,0.18436164883547274,0.9830437072143233,0.9934747145187602,0.9592658416710549,0.9732871125611746,0.8534882675903632,0.8160683343336622,0.7240330713092518,0.6824355642434239,2.5e-05
