epoch,train_loss,val_loss,train_shape_acc,val_shape_acc,train_shape_f1,val_shape_f1,train_color_acc,val_color_acc,train_color_f1,val_color_f1,lr
1,2.9778321382672543,1.8407701956082696,0.7608836907082521,0.7077625570776256,0.20823075937018454,0.46024521011743486,0.905972492960797,0.9324581430745815,0.42581636832488456,0.5102887126118305,0.001
2,1.8402055769171166,1.2456044590092141,0.8757309941520468,0.9642313546423136,0.3310621279264159,0.6579775125646862,0.938745397444228,0.9396245560629123,0.5488720648379933,0.5736208407633664,0.001
3,1.4866746827485577,1.2748414297989332,0.9052956465237167,0.9345509893455098,0.46896615209277465,0.5253862895384874,0.9440654104396794,0.9400050735667174,0.5906531931560487,0.5937551202315735,0.001
4,1.3080666169011028,1.177814825121852,0.8984730344379467,0.9558599695585996,0.4805457391990729,0.587998790247534,0.9459876543209874,0.9472983257229832,0.611975875919092,0.6060081531431308,0.001
5,1.1290411599043362,1.0798356727196565,0.9204028589993503,0.9703196347031964,0.5257030000465246,0.6901909756909755,0.9455544726012562,0.9359462201927955,0.6185169007582317,0.5951858196592873,0.001
6,1.0409730575238054,1.1766056584440954,0.933885640025991,0.821917808219178,0.5916038586359191,0.6120903112796136,0.9495749404375134,0.9401319127346524,0.62518456724057,0.5949640863752838,0.001
7,1.0026862364531028,0.9578696102856501,0.8979857050032488,0.936834094368341,0.591530866272709,0.6308170985483564,0.9503059345895605,0.9455859969558601,0.6354221613838289,0.6297594920199806,0.001
8,0.9665015649299795,1.0381285269692246,0.9153671215074723,0.9642313546423136,0.5536885546158617,0.5850069620438351,0.9504683777344596,0.9488838153221715,0.6410668379378054,0.6320127925689283,0.001
9,0.8561167783981953,0.9831571891064694,0.9246263807667316,0.9375951293759512,0.6065444601657324,0.6779035511952146,0.9545429932856832,0.9513571790969052,0.6664873968867286,0.6400885774006709,0.001
10,0.8276903245300345,0.8420262224235128,0.9304743339831059,0.969558599695586,0.5946263078489251,0.7309074174687792,0.9542451808533681,0.9480593607305936,0.6646725542171521,0.6276102210723983,0.001
11,0.7399875803610347,0.8496666266675046,0.9394087069525666,0.9596651445966514,0.6854695135045192,0.7540977741038861,0.9550032488628979,0.9537671232876713,0.6602836215215263,0.6527067901725703,0.001
12,0.7664181602086395,0.8907994035535025,0.9181286549707602,0.952054794520548,0.6132700879163828,0.6573793658640132,0.9564110894520251,0.952435312024353,0.6690431537959073,0.6459863859680485,0.001
13,0.7754741561652934,0.843204965511595,0.9197530864197531,0.952054794520548,0.5912284105572647,0.7303212185291375,0.9563298678795755,0.9497716894977168,0.6669329666866638,0.6276476528857581,0.001
14,0.6120337110746209,0.8720100911240599,0.9543534762833008,0.952054794520548,0.7342097157120268,0.6740227444477063,0.9596058046350443,0.9493911719939118,0.6911854398596167,0.6416112652159868,0.0005
15,0.5923587538113139,0.8630777682706464,0.9480181936322287,0.971841704718417,0.7110136762165569,0.7573353261559159,0.9602691141433831,0.9545281582952816,0.6903525110838914,0.6609749266059178,0.0005
